,gray,violet,blue,green,yellow,orange,red,brown,target
,0.0 - 31.88,31.88 - 63.76,63.76 - 95.64,95.64 - 127.52,127.52 - 159.4,159.4 - 191.28,191.28 - 223.16,223.16 - 255.04,
215,19366,0,51794,0,0,50566,0,105410,1
216,15507,0,61052,0,0,40529,0,110048,1
217,13769,0,57450,0,0,51411,0,104506,1
218,15824,0,75476,0,0,46031,0,89805,0
219,71011,0,43399,0,21,48640,0,64065,1
220,45057,0,46861,0,5642,49375,0,80201,1
221,28390,0,61694,0,0,44408,0,92644,0
222,23269,0,73092,0,0,41932,0,88843,0
223,27120,0,71538,0,0,35973,0,92505,0
224,25283,0,66810,0,0,37496,0,97547,1
225,15178,0,83582,0,0,46848,0,81528,1
226,44663,0,64684,0,0,33447,0,84342,0
227,20842,0,60298,0,0,48581,0,97415,1
228,18815,0,67032,0,0,57959,0,83330,1
229,29691,0,64336,0,0,31343,0,101766,1
230,10434,0,83635,0,0,31261,0,101806,1
231,15206,0,61545,0,0,53542,0,96843,1
232,20528,0,54258,0,0,36448,0,115902,1
233,25641,0,67132,0,0,46694,0,87669,1
234,14263,0,69398,0,0,49627,0,93848,1
235,29355,0,49782,0,0,68583,0,79416,1
236,17464,0,74453,0,0,55440,0,79779,1
237,7649,0,65272,0,0,37479,0,116736,1
238,20322,0,59879,0,0,55051,0,91884,1
239,17904,0,65072,0,0,36166,0,107994,1
240,10555,0,69804,0,0,63871,0,82906,1
241,13006,0,57659,0,0,51574,0,104897,1
242,18692,0,73373,0,0,44136,0,90935,0
243,9830,0,75695,0,0,42560,0,99051,1
244,14628,0,77134,0,0,47748,0,87626,1
245,22779,0,74845,0,0,33622,0,95890,1
246,21370,0,74921,0,0,37374,0,93471,1
247,18336,0,65571,0,0,37830,0,105399,1
248,23661,0,55604,0,0,53594,0,94277,1
249,21529,0,76544,0,0,37147,0,91916,0
250,25092,0,64592,0,0,46941,0,90511,1
251,10691,0,63994,0,0,40110,0,112341,1
252,14561,0,59391,0,0,65045,0,88139,1
253,17409,0,51603,0,0,58992,0,99132,1
254,16413,0,75802,0,0,48463,0,86458,1
255,11205,0,64529,0,0,53779,0,97623,1
256,7254,0,47987,0,0,61658,0,110237,1
257,8345,0,74183,0,0,48485,0,96123,1
258,15705,0,77300,0,0,48972,0,85159,1
259,26092,0,72532,0,0,30205,0,98307,1
260,4637,0,70439,0,0,65267,0,86793,1
261,9821,0,61229,0,0,57974,0,98112,1
262,29572,0,62265,0,0,46484,0,88815,1
263,19052,0,60019,0,0,44415,0,103650,1
264,10373,0,54605,0,0,55153,0,107005,1
265,30327,0,75487,0,0,40612,0,80710,0
266,21117,0,64870,0,0,43760,0,97389,1
267,7392,0,53089,0,0,62648,0,104007,1
268,8139,0,109687,0,0,34351,0,74959,0
269,11964,0,62165,0,0,54065,0,98942,1
270,9812,0,83346,0,0,51353,0,82625,1
271,11365,0,70747,0,0,49491,0,95533,1
272,8515,0,49508,0,0,66878,0,102235,1
273,9110,0,67761,0,0,49747,0,100518,1
274,17681,0,61233,0,0,60195,0,88027,1
275,12483,0,74928,0,0,35261,0,104464,1
276,14501,0,50359,0,0,67132,0,95144,1
277,31034,0,68026,0,0,46298,0,81778,0
278,13773,0,65460,0,0,59504,0,88399,1
279,14723,0,82446,0,0,54902,0,75065,1
280,10943,0,56833,0,0,51832,0,107528,1
281,30911,0,57992,0,375,47374,0,90484,1
282,19042,0,69332,0,0,43487,0,95275,1
283,14466,0,84593,0,0,39897,0,88180,0
284,18062,0,75550,0,0,33227,0,100297,1
285,17118,0,81392,0,0,44730,0,83896,0
286,17563,0,50980,0,0,51923,0,106670,1
287,25282,0,69350,0,0,43903,0,88601,0
288,3784,0,85126,0,0,53131,0,85095,1
