,gray,violet,blue,green,yellow,orange,red,brown
,0.0 - 31.88,31.88 - 63.76,63.76 - 95.64,95.64 - 127.52,127.52 - 159.4,159.4 - 191.28,191.28 - 223.16,223.16 - 255.04
150,5.22,0.0,28.3,0.0,0.0,20.25,0.0,46.23
151,11.52,0.0,25.91,0.0,0.0,17.25,0.0,45.32
152,2.42,0.0,25.13,0.0,0.0,28.68,0.0,43.77
153,2.87,0.0,23.39,0.0,0.0,29.14,0.0,44.6
154,3.64,0.0,27.52,0.0,0.0,26.91,0.0,41.92
155,20.5,0.0,22.32,0.0,0.0,19.08,0.0,38.1
156,7.81,0.0,32.39,0.0,0.0,18.25,0.0,41.56
157,5.26,0.0,28.61,0.0,0.0,25.72,0.0,40.41
158,5.72,0.0,34.94,0.0,0.0,20.66,0.0,38.68
159,4.73,0.0,33.63,0.0,0.0,25.94,0.0,35.7
160,5.83,0.0,26.59,0.0,0.0,16.84,0.0,50.73
161,6.06,0.0,26.59,0.0,0.0,16.4,0.0,50.94
162,8.19,0.0,27.05,0.0,0.0,17.05,0.0,47.7
163,7.47,0.0,35.01,0.0,0.0,16.51,0.0,41.0
164,13.69,0.0,30.48,0.0,0.0,13.69,0.0,42.14
165,5.65,0.0,31.42,0.0,0.0,21.62,0.0,41.31
166,6.13,0.0,27.98,0.0,0.0,18.46,0.0,47.43
167,19.71,0.0,26.18,0.0,0.0,12.97,0.0,41.14
168,1.09,0.0,32.91,0.0,0.0,25.19,0.0,40.8
169,9.37,0.0,22.17,0.0,0.0,20.29,0.0,48.17
170,10.07,0.0,25.23,0.0,0.0,18.67,0.0,46.03
171,9.28,0.0,28.81,0.0,0.01,22.72,0.0,39.19
172,8.87,0.0,23.44,0.0,0.0,23.07,0.0,44.61
173,6.29,0.0,32.02,0.0,0.0,22.2,0.0,39.49
174,11.51,0.0,28.88,0.0,0.0,17.68,0.0,41.92
175,4.98,0.0,33.52,0.0,0.0,17.17,0.0,44.34
176,7.95,0.0,27.53,0.0,0.0,19.12,0.0,45.41
177,8.31,0.0,24.4,0.0,0.0,23.68,0.0,43.61
178,13.1,0.0,24.11,0.0,0.91,23.02,0.0,38.86
179,12.83,0.0,32.65,0.0,0.0,15.35,0.0,39.17
